Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$70K-$116K (Glassdoor est.),"Secure our Nation, Ignite your Future

Join the top Information Technology and Analytic professionals in the industry to make invaluable contributions to our national security on a daily basis. In this innovative, self-contained, Big Data environment, the ManTech team is responsible for everything from infrastructure, to application development, to data science, to advanced analytics and beyond. The team is diverse, the questions are thought-provoking, and the opportunities for growth and advancement are numerous

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies

Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Bachelor of Science or equivalent and 12-15 years related experience, but will consider all levels of experience.
Desired Experience, Skills & Technologies
Previous investigative experience using a combination of technical and analytic skills
#LI-DU1

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech
4.2","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
Sr Data Scientist,$70K-$116K (Glassdoor est.),"Description

The Senior Data Scientist is responsible for defining, building, and improving statistical models to improve business processes and outcomes in one or more healthcare domains such as Clinical, Enrollment, Claims, and Finance. As part of the broader analytics team, Data Scientist will gather and analyze data to solve and address complex business problems and evaluate scenarios to make predictions on future outcomes and work with the business to communicate and support decision-making. This position requires strong analytical skills and experience in analytic methods including multivariate regressions, hierarchical linear models, regression trees, clustering methods and other complex statistical techniques.

Duties & Responsibilities:

• Develops advanced statistical models to predict, quantify or forecast various operational and performance metrics in multiple healthcare domains
• Investigates, recommends, and initiates acquisition of new data resources from internal and external sources
• Works with multiple teams to support data collection, integration, and retention requirements based on business needs
• Identifies critical and emerging technologies that will support and extend quantitative analytic capabilities
• Collaborates with business subject matter experts to select relevant sources of information
• Develops expertise with multiple machine learning algorithms and data science techniques, such as exploratory data analysis and predictive modeling, graph theory, recommender systems, text analytics and validation
• Develops expertise with Healthfirst datasets, data repositories, and data movement processes
• Assists on projects/requests and may lead specific tasks within the project scope
• Prepares and manipulates data for use in development of statistical models
• Other duties as assigned

Minimum Qualifications:

-Bachelor's Degree

Preferred Qualifications:

- Master’s degree in Computer Science or Statistics
Familiarity with major cloud platforms such as AWS and Azure
Healthcare Industry Experience

Minimum Qualifications:

-Bachelor's Degree

Preferred Qualifications:

- Master’s degree in Computer Science or Statistics
Familiarity with major cloud platforms such as AWS and Azure
Healthcare Industry Experience

WE ARE AN EQUAL OPPORTUNITY EMPLOYER. Applicants and employees are considered for positions and are evaluated without regard to mental or physical disability, race, color, religion, gender, national origin, age, genetic information, military or veteran status, sexual orientation, marital status or any other protected Federal, State/Province or Local status unrelated to the performance of the work involved.

If you have a disability under the Americans with Disability Act or a similar law, and want a reasonable accommodation to assist with your job search or application for employment, please contact us by sending an email to careers@Healthfirst.org or calling 212-519-1798 . In your email please include a description of the accommodation you are requesting and a description of the position for which you are applying. Only reasonable accommodation requests related to applying for a position within Healthfirst Management Services will be reviewed at the e-mail address and phone number supplied. Thank you for considering a career with Healthfirst Management Services.
EEO Law Poster and Supplement

]]>",3.1,"Healthfirst
3.1","New York, NY","New York, NY",1001 to 5000 employees,1993,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,"EmblemHealth, UnitedHealth Group, Aetna"
Senior Data Engineer,$70K-$116K (Glassdoor est.),"Summary The Senior Data Engineer is a key position for developing, maintaining, managing and evolving our data processing and analytics platform and services. On average, our platform typically receives / processes over 15,000 data points a second.
Key Skills: Kafka, Cassandra, Spark, SQL
Essential Duties and Responsibilities (Other duties may be assigned in addition to the items included below.)
Create new, and maintain existing Spark jobs written is Scala and/or PySpark
Developing scripts using Python, Numpy, Pandas, Bash, SQL
Expand and optimize the performance of the big data platform, including
o Kafka and other components of real-time pipelines
o Spark jobs
o Cassandra storage
o Google Big Query Analytics
Identify opportunities and recommend solutions for improving platform efficiency and effectiveness
Identifying and developing additional analytics methods for
o existing data
o new data opportunities
Monitors, analyzes, reports and troubleshoots the existing big data platform
Provides ongoing system administration, management, trending, analysis and troubleshooting activities for the big data platform
Creating metrics, monitoring tools, documentation, training and other tools to expand capabilities of Level 1 support members * Contribute to task forces and special projects initiated within departments/divisions
Participate in After Hours Support activities * Perform other duties or responsibilities as assigned or required. Education and/or Experience * 4-year degree from accredited college or university.
5+ years programming / scripting experience with Scala, Python, Bash
2+ years’ experience with Spark, Kafka, Cassandra
2+ experience with Advanced SQL
2+ years’ experience managing servers and systems
Strong analytical troubleshooting skills
Excellent written and oral communication skills
Ability to multitask and prioritize
Strong organizational and detail-oriented skills Additional Skillsets Desired
Google Cloud Environments * Hadoop and Yarm Farm
Apache Flink
Apache Airflow
Kubernetes
MySQL
Debian Linux
Ubuntu Linux
Aoache Web Server
Nginx Web Server
Benefits
Equal opportunities for all * MacOS or Windows as your workstation
Job Type: Full-time
Pay: $125,000.00 - $150,000.00 per year
Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Flexible Spending Account
Health Insurance
Paid Time Off
Vision Insurance
COVID-19 considerations:
To keep our employees as safe as possible, we are getting the office deep cleaned and using EPA approved disinfectants that are shown to reduce the spread of Covid
Work Location:
One location
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Innovative -- prefers working in unconventional ways or on tasks that require creativity
Schedule:
Monday to Friday
Company's website:
www.reinsight.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Yes",-1,RE Insight,"Irvine, CA","Irvine, CA",1 to 50 employees,2018,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,$70K-$116K (Glassdoor est.),"The Senior Data Scientist will build and improve analytic pipelines to consolidate multiple data sources, perform analytic processing, and produce actionable business information (e.g., top-10 lists, pattern-matches, exceptions, or lists of #39;needles in the haystack#39;). S/he will apply hands-on development skills and experience as an expert in analytics, data science, pattern recognition, and",3.7,"Powertek
3.7","Washington, DC","Rockville, MD",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1
Data Scientist,$70K-$116K (Glassdoor est.),"Returning Candidate? Log back in to the Career Portal and click on 'Job Browsing/History' and find the job you're looking for.

2020-064-INT: Data Scientist

Directorate Intelligence & Defense Solutions
Location Beavercreek, OH
Riverside Research is seeking a full-time data scientist to join a cross-functional team of artificial intelligence/machine learning (AI/ML) practitioner’s prototyping and implementing solutions for enduring customer challenges at the National Air and Space Intelligence Center (NASIC) Wright-Patterson AFB, Ohio. Candidates must be technically proficient and have real-word experience devising practical and sustainable solutions.

All Riverside Research opportunities require U.S. citizenship.

Job Responsibilities:
• Assess customer systems and processes for application of machine learning technologies
• Create and prototype machine learning approaches to demonstrate efficacy
• Perform basic and applied research in applying machine learning solutions to complex problems and datasets; document and present research results and the status of ongoing or emerging projects
• Participate in a multi-disciplinary, experienced, energetic team on a rapid development schedule
• Occasional travel may be required
• Other duties as assigned

Qualifications:
• US citizen able to qualify for a Top Secret clearance with SCI adjudication
• Bachelor’s degree in computer science, engineering, or related technical field
• Proficient with programming languages and software packages related to the development of machine learning algorithms including, but not limited to: Python, Tensorflow, PyTorch
• Self-motivated, detail oriented, responsible team player able to work independently with minimal daily direction; effective/efficient written/verbal communication skills
• Ability to work and interact with technically and organizationally diverse personnel

Desired Qualifications:
• Top Secret clearance with SCI adjudication
• Doctorate or Master’s degree in computer science, engineering, or related technical field with specialization in artificial intelligence
• Experience working with or in support of Department of Defense (DoD) or intelligence community (IC)
• Experience with one or more of the following: GPU/parallel processing such as NVIDIA’s CUDA, classification, pattern recognition, anomaly detection, pose estimation, or similar

Riverside Research strives to be one of America’s premier providers of independent, trusted technical and scientific expertise. As we continue to add experienced, technically astute staff, we are looking for highly motivated, talented team members that can help our DoD and Intelligence Community (IC) customers continue delivery of world class programs. As a not-for-profit, technology-oriented Defense Company, we believe service to customers and support of our staff is our mission. Our goal is to serve as a destination company by providing an industry-leading, positive, and rewarding employee experience for all who join us. We aspire to be a valued partner to our customers and to earn their trust through our unwavering commitment to achieve timely, innovative, cost-effective and mission-focused solutions.

All positions at Riverside Research are subject to background investigations. Employment is contingent upon successful completion of a background investigation including criminal history and identity check.

This contractor and subcontractor shall abide by the requirements of 41 CFR 60-741.5(a). This regulation prohibits discrimination against qualified individuals on the basis of disability, and requires affirmative action by covered prime contractors and subcontractors to employ and advance in employment qualified individuals with disabilities.

This contractor and subcontractor shall abide by the requirements of 41 CFR 60-300.5(a). This regulation prohibits discrimination against qualified protected veterans, and requires affirmative action by covered contractors and subcontractors to employ and advance in employment qualified protected veterans.

Apply Now",3.6,"Riverside Research Institute
3.6","Beavercreek, OH","Arlington, VA",501 to 1000 employees,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),-1
Data Scientist,$70K-$116K (Glassdoor est.),"Company Overview

Imagine if we could match patients with the treatments that prove the most effective for them . . .
GNS Healthcare applies a powerful form of AI called causal machine learning to predict which treatments and care management programs will work for which patients, improving individual patient outcomes and the health of populations while reducing the total cost of care.

Headquartered in the biotechnology and health IT center of Cambridge, MA, our patented REFS technology is based on recent breakthroughs in causal machine learning and AI that transforms massive quantities of patient data into computer models of disease at molecular, patient, and health system levels. These computer models power up solutions, products, and services that health plans, biopharmaceutical companies, health systems, and patient foundations utilize to slow disease progression, reduce adverse events and hospitalization, and improve therapeutic effectiveness. Our platforms and solutions have been validated across more than 45 diseases including oncology, cardiovascular and metabolic disease, autoimmune diseases, neurology, etc. and have appeared in over 50 peer-reviewed publications.

Position Summary

The Data Scientist will join a dynamic team responsible for start-to-finish work on the analysis and interpretation of real-world datasets using GNSs powerful cloud-based analytics platform. We are looking for someone who thrives working in a fast-paced, exciting, and collaborative environment in one of the most cutting-edge industries where big data analytics meets healthcare. You will help manage real world data, as well as create and interpret data-frames for modeling and analysis. You will collaborate with our research scientists to carry out analysis projects using our proprietary, supercomputer-powered Bayesian network modeling and simulation platform, and will synthesize these results into meaningful reports for clients and product development.

Responsibilities
Collaborate with internal research teams and clients to evaluate study design, define research questions, design data frames, write statistical analysis plans/study protocols, conduct analyses, and participate in the full research process, including client presentation and publication
Communicate highly technical results and methods clearly to clients, discuss how to incorporate information into their processes, and achieve high client satisfaction
Troubleshoot with clients and internal stakeholders to refine and optimize models
Provide scientific communications to peer-reviewed journals and publications
Develop data frames of high complexity while adhering to a project-based timeline
Perform data manipulations and develop algorithms on multi-data sets that create the analytic files necessary to support analyses.
Consult on how to use data to perform predictive and causal modeling using both proprietary and off-the-shelf tools.
Qualifications

Minimum Qualifications: (Title commensurate with experience)
Relevant Bachelors Degree
Experience working with biomedical data/ population health data, EHR or claims data
Demonstrated experience working with programming languages R and SQL
Strong written and verbal communication; an ability to communicate technical material to non-technical audiences simply and clearly and collaborate well on a team
Strong drive for problem solving, especially around data frame construction and interpretation
Preferred Qualifications:
Masters Degree in a quantitative discipline or equivalent practical experience
Demonstrated experience working with advanced ML techniques, probability theory, Bayesian analysis, or causal inference methods
Experience working with large, complex, or unstructured data requiring post-processing to use effectively
Familiarity with the UNIX and cluster computing environment
Company Culture

Our philosophy at GNS is simple: we cannot transform healthcare with anything less than an all-star team. We are seeking smart, driven people who are experts in their field, have a track record of success and a passion for creating change. We believe that strong teams supercharge the performance of individuals, create a fun and dynamic workplace and great results for our clients and the people they serve.

We are passionate about our work and believe in the ability of our technology to change the world. Our core values of integrity, collaboration, value, diversity, and game-changing guide our behaviors with each other and our clients.

GNS offers competitive salaries, stock options, unlimited vacation, health, dental and vision insurance, life insurance, long-term disability, 401(k), generous parental leave, tuition reimbursement, professional development, subsidized parking and gym membership, tasty food, volunteering opportunities, social gatherings, and more.

Equal Employment Opportunity

GNS Healthcare provides equal employment opportunities to all employees and applicants for employment without regard to race, color, national origin, religion, sexual orientation, gender, gender identity or expression, age, veteran status, disability, pregnancy or conditions related to pregnancy, or genetics. In addition to federal law requirements, GNS Healthcare complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities.

Powered by JazzHR",2.9,"GNS Healthcare
2.9","Cambridge, MA","Cambridge, MA",51 to 200 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1
"Scientist, Pharmacology",$70K-$116K (Glassdoor est.),"Sutro has a unique capability that enables new molecular entities to be designed using a hybrid of synthetic and recombinant technologies to create best in class therapeutics in the oncology and auto-immune disease space. Our portfolio includes antibody-drug conjugates, bispecific antibodies, cytokine derivatives and other novel immuno-stimulatory approaches.

Sutro Biopharma is looking for a talented and energetic team player to help drive preclinical/clinical advancement of our drug portfolios within the Translational Pharmacology and Preclinical Development (TP/PD), Pharmacology group.

Responsibilities


This pharmacology position requires a Scientist/Senior Scientist with at least 2 years industry experience in the preclinical development of cancer immunotherapies. The scientist will be responsible for validating therapeutics that have been engineered to engage a variety of immune effector pathways. Specifically, to develop novel animal models and conduct complex in vivo and ex vivo murine tumor studies with the goal of advancing leads to the clinic. The individual will be expected to have:
Strong background in one or more areas of tumor biology, immunology, oncology, and/or immuno-oncology
Experience with independent design, execution, analysis, and reporting of non-clinical animal pharmacology, pharmacokinetic (PK) and pharmacodynamic (PD) studies
Communicate key scientific data to project teams with clear interpretation of data and proposal of next steps
Qualifications
Ph.D. degree with a minimum of 2 years industry experience evaluating oncology or immuno-oncology drug products in preclinical efficacy models
Independently plan and execute complex anti-tumor efficacy, PK, and PD studies in mice including: cell culture, dosing (IV, SC, IP), tumor measurement, as well as the dissection of organs for subsequent ex vivo analysis
Design flow cytometry (FACS) panels and perform FACS analysis on human and murine cells, tumors, and tissues
Develop novel murine models to investigate combinatorial immuno-therapeutic strategies
Must be highly motivated and work successfully in cross-functional teams by contributing data and ideas
Demonstrated ability to multi-task, troubleshoot, think critically and interpret data
Clear and professional verbal and written communication skills, including maintaining detailed and accurate protocols and lab notebooks
Please submit resume for Req. #2039 to jobs@sutrobio.com. Please visit our website at www.sutrobio.comfor more information. Local candidates, SF Bay Area.

Sutro provides a competitive benefits package that includes a choice of health, dental, and vision insurance, life insurance, flexible spending accounts, 401K plan, PTO, and stock options.

Sutro Biopharma is committed to the diversity of our team and we are committed to Equal Employment Opportunity without regard for race, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity or religion.

Salaries listed on jobsites may not be representative of salary ranges at Sutro Biopharma.

Please be advised, inquiries or resumes from recruiters will not be accepted.",4.3,"Sutro Biopharma
4.3",United States,"South San Francisco, CA",51 to 200 employees,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Senior Data Scientist,$70K-$116K (Glassdoor est.),"Secure our Nation, Ignite your Future

Job Summary

Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of solutions to promote efficient trade and travel. Further, effective solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.

In response to this challenge, ManTech, as a trusted mission partner of CBP, seeks capable, qualified, and versatile Senior Data Scientist to help lead the development and delivery of high-quality predictive modelling solutions. Successful applicants will serve as recognized subject matter experts in the application of quantitative methods, machine learning algorithms, and predictive models to address complex national and homeland security challenges. They will help our team to leverage large structured and unstructured datasets to develop and operationalize models, tools, and applications that drive optimized decision making. Project tasks include data collection, mining, data and text analytics, clustering analysis, pattern recognition and extraction, automated classification and categorization, and entity resolution to implement and enhance automated risk assessment. The products we develop provide actionable insight with real and immediate impact on the safety and security of the United States, its citizens, visitors, and economy.

Required Qualifications:
Experience performing the full lifecycle of machine learning model development activities; including data engineering, feature development, validation and implementation/assessment
Experience applying advanced analytics solutions to solve complex business problems
Experience with programming languages including: R, Python, Scala, Java
Proficiency with relational databases, using SQL/PLSQL or similar to extract, transform and load data in support of EDA and model development
Proficiency with statistical software packages including: SAS, SPSS Modeler, R, WEKA, or equivalent
Experience with unsupervised and supervised machine learning techniques and methods
Experience working with large-scale (e.g., terabyte and petabyte) unstructured and structured data sets and databases
Experience performing data mining, analysis, and training set construction
Bachelors Degree (required) or Masters Degree in mathematics, statistics, computer science/engineering, or other related technical fields with equivalent practical experience
Desired Skills:
Proficiency with Unsupervised Machine Learning methods including Cluster Analysis (e.g., K-means, K-nearest Neighbor, Hierarchical, Deep Belief Networks, Principal Component Analysis), Segmentation, etc.
Proficiency with Supervised Machine Learning methods including Decision Trees, Support Vector Machines, Logistic Regression, Random/Rotation Forests, Categorization/Classification, Neural Nets, Bayesian Networks, etc.
Experience with pattern recognition and extraction, automated classification, categorization, and entity resolution (e.g., record linking, named-entity matching, deduplication/ disambiguation).
Experience with visualization tools and techniques (e.g., Periscope, Business Objects, D3, ggplot, Tableau, SAS Visual Analytics, PowerBI)
Experience with big data technologies (e.g., Hadoop, HIVE, HDFS, HBase, MapReduce, Spark, Kafka, Sqoop)
Experience conducting intelligence analysis supporting law enforcement missions
Active Top Secret Clearance
Physical Requirements:

The person in this position needs to occasionally move about inside the office to access file cabinets, office machinery, or to communicate with co-workers, management, and customers, which may involve delivering presentations.

Clearance

Applicants selected must be a US Citizen and able to obtain and maintain a U.S. Customs and Border Protection (CBP) Background Investigation.

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech
4.2","Alexandria, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
"Risk and Analytics IT, Data Scientist",$70K-$116K (Glassdoor est.),"OUR AGENCY

Making a Difference

SWIB is a trusted and skilled global investment organization managing the assets of the Wisconsin Retirement System (WRS) and other separately managed funds. With about $129 billion in total assets under management, SWIB has been recognized by the investment industry for its teamwork and innovation that helps make it a premier asset manager. Sophisticated investment management strategies, forward-looking technologies, and strong internal asset management make SWIB a leading investment organization.

For public employees in Wisconsin, SWIB is a unique and valuable partner. Investing for the financial security of more than 635,000 individuals and for the 1,500 Wisconsin employers who contribute on behalf of their employees SWIBs strong management of the WRS has helped fuel one of only a few fully funded public pension funds in the country. SWIBs long-term investment returns meet the challenges of a constantly evolving investment landscape while helping grow and protect the assets of the WRS, the 8th largest public pension fund in the U.S. and 25th largest public or private pension fund in the world.

We are a mission driven organization and the participants we serve are our mission. By bringing a disciplined, prudent and innovative approach to market opportunities, SWIB has been successful in generating respectable returns and maintaining the trust of the beneficiaries and stakeholders of the funds we oversee.

Join HIGHER PERFORMERS

Home to Top Talent

SWIB has long been recognized as an investment leader because of its success in maintaining the WRS and for the highly-qualified staff overseeing the retirement trust funds. SWIBs internal team invests a majority of its assets under management. This means SWIB is committed to investing in professionals that will keep the organization at the forefront of the investment industry. As an innovative organization, SWIB offers professional development opportunities that enable staff to grow and develop. Approximately 61 percent of SWIBs investment professionals are Chartered Financial Analyst (CFA) charterholders.

About the Team

Partner with, build, maintain, enhance and manage the data and technology for the Asset and Risk Allocation (ARA) division which is responsible for the overall investment structure of the Core and Variable Trust Funds. ARA recommends and implements the asset allocation for the policy portfolio, recommends and implements the active risk budget, and is responsible for overall risk monitoring and management. The Risk and Analytics IT department primarily partners with the Asset & Risk Allocation team as well as work with other internal divisions. There will be opportunities to apply skills in both technology and finance.

This role offers a unique opportunity to learn and contribute to the technology and the business through technology.

Essential activities:
Creating reporting, decisioning systems or outputs, performing rapid analysis on data issues, and instrumenting the system with data quality rules to proactively catch and prevent issues, creating enriched and enhanced datasets with advanced data manipulation and modeling skills, use of primarily Oracle, SQL Server, Snowflake, Python, delivering risk, return, cost metrics and partner with various internal departments to improve the overall state of technology and operations, architecting, developing, testing, documenting and supporting software and technical solutions for the SWIB ARA team as well as other teams, assess and revisit inventory business logic, calculations and reporting, leveraging SQL, Python and communication skills in various avenues, instrument data quality rules and metrics in the system.

Technical Skills:
Oracle SQL, SQL Server
Snowflake (or some equivalent datastore tool)
Python experience
JIRA and Confluence
Alteryx (or some equivalent ETL tool such as Informatica)
PowerBI (or some equivalent BI tool such as Tableau)
Data Skills:
SQL development
ETL (Extract Transform load) exposure
Python experience
Financial Knowledge recommended but candidates in other industries highly recommended to apply:
Understanding of multi-asset products is desirable
Comprehensions of risk, return and cost metrics in industry is desirable
Exposure to the investment management lifecycle is desirable
The ideal candidate:
5-10 years experience in data analytics, data science, or related fields
Bachelor's degree or advanced degree in finance, quantitative finance, or another related field
Ability to take various questions gathered from the business leveraging existing data as well as improving upon that data to deliver complete, consistent and precise answers
Experience in working with/understanding the various lifecycles of data management, extraction, loading, transformation to its applications in analysis, research and solving problems
Extensive knowledge in composing Oracle SQL, SQL Server queries, data modeling, and having a SQL and analytics background
Experience in identifying use cases for the business, contributing to analysis and understanding of existing data models with iterative recommendations on improvement resulting in some improvement in risk, return or cost for the organization
Extensive knowledge of data extraction, transformation and loading
Experience refactoring SQL queries, use of Python
Experience working with large structured and financial data sets
Ability to follow rigor in creating/updating documentation, maintain process (i.e. JIRA tickets) and following technology and business best practices
Ability to present and communicate well and connect business and technology
Ability to tactically understand results in context (i.e. when does something look wrong), and strategically how to resolve those issues via data quality and rule-based instrumentation
Interest in newer data technologies, Snowflake programming, i.e. Python
Interest or experience in investment management, quantitative finance and technology
Background in Agile methodologies and their applications
SWIB Offers:
Competitive McLagan-base salary
Meaningful performance-based incentive compensation
A comprehensive benefit package
Educational and training opportunities
Tuition reimbursement
Challenging work in a professional environment
The position requires U.S. work authorization and residency in, or willingness to relocate to the Madison, Wisconsin area. SWIB is prepared to offer relocation assistance as needed.",2.9,"State of Wisconsin Investment Board
2.9","Madison, WI","Madison, WI",51 to 200 employees,1951,Government,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),-1
Data & Analytics Consultant,$70K-$116K (Glassdoor est.),"WHO WE LOOK FOR

An SEI Consultant is a master communicator and active listener who understands how to navigate an audience. Self-aware, almost to a fault, SEI consultants keenly understand how to adjust their approach based on the situation. Following a logical, fact-based approach, our consultants possess the superior ability to see correlations others may not, ask the right questions and drive solutions.

As super-connectors, our consultants connect not only people, but data, trends and experiences. Mature, humble, and genuine, SEI Consultants frequently go above and beyond for both their clients and their colleagues. SEI Consultants are ethical and trustworthy individuals who do what they say. SEI Consultants have an insatiable curiosity and love to learn. These individuals are commonly tech savvy and early adopters. Their passion for learning is infectious and excites others.

As every project is different, an SEI Consultant must be adaptable and comfortable with unexpected situations. An SEI Consultant must be at ease with ambiguity because although a client knows that a problem exists – they need SEI to figure it out and drive a solution. SEI Consultants define ambition differently. SEI Consultants are authentic, low-maintenance individuals who like to hang out with colleagues outside of work. Whether it be cooking, traveling, hiking, or volunteering, SEI Consultants enjoy working with genuine, thoughtful folks who want to steer clear of the traditional grind and share the joy of day-to-day life and activities with colleagues, friends and family.

WHAT WE DO

Our consultants work with clients at all levels of the organization, from the C-suite to the shop floor, helping them to deliver on their most strategic initiatives. We’re known for making realistic, data-driven decisions that deliver value in tangible ways to our clients. Our clients ask for us on projects that require a superior combination of technical and business capabilities, people and management skills, and a collaborative mindset. We excel in understanding complex programs and strategic initiatives and breaking them into actionable pieces.

We are actively looking for professionals in the following areas:
Data Strategy and Governance
Database Architecture and Development
Data Analysis
Reporting and Data Visualization
The ideal candidate will:
Have experience understanding and solving real business problems
Solid writing and speaking skills to support data storytelling
Ideal candidates may call themselves Data Engineers, Data Scientists and Analysts and Data Governance professionals. Experience may include but is not limited to the following:
Experience with statistical and mathematical modeling, artificial intelligence and machine learning software and methods
Specialization in architecting enterprise solutions with visualizations and data-discovery tools such as Tableau, QlikView, Spotfire, Amazon Web Services, Cloud, Salesforce
Technical capabilities that include designing scalable data architectures, solution performance tuning, and hardware sizing
Experience and knowledge of programming and scripting languages, such as , Python, Java, C#, PL/SQL, R and SAS
Experience and knowledge of relational and dimensional database structures, theories, principles, and practice used in data warehousing and analytics solutions
Experience managing, populating, and querying database technologies including RDBMS, NOSQL, and big data platforms and experience working with these technologies' ecosystems
QUALIFICATIONS

Required
Demonstrated business and technology acumen
Proven track record of delivering results
Experience working with and/or leading a team
Ability to work independently
Ability to work across industries, roles, functions & technologies
Positive can-do attitude
A curiosity for new technology
Authorization for permanent employment in the United States (this position is not eligible for immigration sponsorship)
Preferred
Bachelor’s degree (Mathematics, Computer Science, or related field preferred)
8+ years professional experience
Consulting experience
Experience across our service offerings",4.6,"SEI
4.6","Cincinnati, OH","Cincinnati, OH",201 to 500 employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1
